time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675911134.85838,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.457,3.465,3.466,3.466,3.411,3.401
1675911134.873247,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911135.9570649,0,V,3.436,3.46,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911135.971738,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
1675911137.054332,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911137.068626,0,T,25.0,24.5,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.1,24.5,24.5,25.2,26.4
1675911138.1519291,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911138.16673,0,T,25.0,24.6,25.3,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.3
1675911139.249345,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.466,3.466,3.41,3.401
1675911139.263597,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911140.34824,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.411,3.401
1675911140.362315,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911141.4431648,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911141.4590359,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911142.540894,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.457,3.464,3.466,3.466,3.411,3.401
1675911142.556384,0,T,25.0,24.6,25.3,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911143.638051,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.464,3.466,3.466,3.411,3.401
1675911143.653909,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911144.735538,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.466,3.466,3.411,3.401
1675911144.751282,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911145.8320189,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911145.847632,0,T,25.0,24.5,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911146.9296498,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911146.945246,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.5,24.5,25.2,26.4
1675911148.027412,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.467,3.457,3.464,3.466,3.466,3.411,3.401
1675911148.041022,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911149.122838,0,V,3.436,3.461,3.455,3.43,3.456,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911149.138088,0,T,25.0,24.5,25.3,24.2,24.8,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.2,26.4
1675911150.220596,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.41,3.401
1675911150.235195,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.3,25.1,24.6,24.5,25.2,26.4
1675911151.319755,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.466,3.466,3.411,3.401
